"Team","Round 1","Round 2","Round 3","Round 4","Round 5","Round 6","Round 7","Round 8","Round 9","Round 10","Round 11","Round 12","Round 13","Round 14","Round 15"
"Union","Away vs Club Brugge","Home vs Cercle Brugge","Away vs Gent","Home vs STVV","Away vs Charleroi","Home vs Anderlecht","Away vs Westerlo","Home vs Genk","Away vs Kortrijk","Home vs Standard","Away vs Mechelen","Home vs Antwerp","Away vs OHL","Home vs Eupen","Away vs Molenbeek"
"Anderlecht","Home vs Antwerp","Away vs Genk","Home vs Mechelen","Away vs Standard","Home vs Molenbeek","Away vs Union","Home vs OHL","Away vs Eupen","Home vs Cercle Brugge","Away vs STVV","Home vs Westerlo","Away vs Gent","Home vs Charleroi","Away vs Club Brugge","Home vs Kortrijk"
"Antwerp","Away vs Anderlecht","Home vs Kortrijk","Away vs Charleroi","Away vs Genk","Home vs Mechelen","Away vs OHL","Home vs Club Brugge","Away vs Standard","Home vs Gent","Away vs Eupen","Home vs Molenbeek","Away vs Union","Home vs STVV","Away vs Cercle Brugge","Home vs Westerlo"
"Club Brugge","Home vs Union","Away vs Molenbeek","Home vs Eupen","Home vs Cercle Brugge","Away vs Westerlo","Home vs Gent","Away vs Antwerp","Home vs STVV","Away vs Charleroi","Home vs Kortrijk","Away vs Genk","Home vs Mechelen","Away vs Standard","Home vs Anderlecht","Away vs OHL"
"Cercle Brugge","Home vs Molenbeek","Away vs Union","Home vs OHL","Away vs Club Brugge","Away vs Gent","Home vs STVV","Away vs Kortrijk","Home vs Westerlo","Away vs Anderlecht","Home vs Charleroi","Away vs Standard","Home vs Genk","Away vs Mechelen","Home vs Antwerp","Away vs Eupen"
"Genk","Away vs Kortrijk","Home vs Anderlecht","Away vs Westerlo","Home vs Antwerp","Home vs Standard","Away vs Mechelen","Home vs Eupen","Away vs Union","Home vs Molenbeek","Away vs OHL","Home vs Club Brugge","Away vs Cercle Brugge","Home vs Gent","Away vs STVV","Home vs Charleroi"
"Gent","Home vs Eupen","Away vs Mechelen","Home vs Union","Away vs Molenbeek","Home vs Cercle Brugge","Away vs Club Brugge","Away vs STVV","Home vs Charleroi","Away vs Antwerp","Home vs Westerlo","Away vs Kortrijk","Home vs Anderlecht","Away vs Genk","Home vs OHL","Away vs Standard"
"Mechelen","Away vs Charleroi","Home vs Gent","Away vs Anderlecht","Home vs Kortrijk","Away vs Antwerp","Home vs Genk","Home vs Standard","Away vs OHL","Home vs Eupen","Away vs Molenbeek","Home vs Union","Away vs Club Brugge","Home vs Cercle Brugge","Away vs Westerlo","Home vs STVV"
"STVV","Home vs OHL","Away vs Standard","Home vs Molenbeek","Away vs Union","Home vs Eupen","Away vs Cercle Brugge","Home vs Gent","Away vs Club Brugge","Away vs Westerlo","Home vs Anderlecht","Away vs Charleroi","Home vs Kortrijk","Away vs Antwerp","Home vs Genk","Away vs Mechelen"
"Standard","Away vs Westerlo","Home vs STVV","Away vs Kortrijk","Home vs Anderlecht","Away vs Genk","Home vs Charleroi","Away vs Mechelen","Home vs Antwerp","Home vs OHL","Away vs Union","Home vs Cercle Brugge","Away vs Eupen","Home vs Club Brugge","Away vs Molenbeek","Home vs Gent"
"Westerlo","Home vs Standard","Away vs OHL","Home vs Genk","Away vs Eupen","Home vs Club Brugge","Away vs Molenbeek","Home vs Union","Away vs Cercle Brugge","Home vs STVV","Away vs Gent","Away vs Anderlecht","Home vs Charleroi","Away vs Kortrijk","Home vs Mechelen","Away vs Antwerp"
"OHL","Away vs STVV","Home vs Westerlo","Away vs Cercle Brugge","Home vs Charleroi","Away vs Kortrijk","Home vs Antwerp","Away vs Anderlecht","Home vs Mechelen","Away vs Standard","Home vs Genk","Home vs Eupen","Away vs Molenbeek","Home vs Union","Away vs Gent","Home vs Club Brugge"
"Charleroi","Home vs Mechelen","Away vs Eupen","Home vs Antwerp","Away vs OHL","Home vs Union","Away vs Standard","Home vs Molenbeek","Away vs Gent","Home vs Club Brugge","Away vs Cercle Brugge","Home vs STVV","Away vs Westerlo","Away vs Anderlecht","Home vs Kortrijk","Away vs Genk"
"Eupen","Away vs Gent","Home vs Charleroi","Away vs Club Brugge","Home vs Westerlo","Away vs STVV","Home vs Kortrijk","Away vs Genk","Home vs Anderlecht","Away vs Mechelen","Home vs Antwerp","Away vs OHL","Home vs Standard","Home vs Molenbeek","Away vs Union","Home vs Cercle Brugge"
"Kortrijk","Home vs Genk","Away vs Antwerp","Home vs Standard","Away vs Mechelen","Home vs OHL","Away vs Eupen","Home vs Cercle Brugge","Away vs Molenbeek","Home vs Union","Away vs Club Brugge","Home vs Gent","Away vs STVV","Home vs Westerlo","Away vs Charleroi","Away vs Anderlecht"
"Molenbeek","Away vs Cercle Brugge","Home vs Club Brugge","Away vs STVV","Home vs Gent","Away vs Anderlecht","Home vs Westerlo","Away vs Charleroi","Home vs Kortrijk","Away vs Genk","Home vs Mechelen","Away vs Antwerp","Home vs OHL","Away vs Eupen","Home vs Standard","Home vs Union"
